City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lompoc,34.6391,-120.4579,79.02,81,100,1.01,US,1694718742
84,sitka,57.0531,-135.33,55.29,88,100,8.05,US,1694718742
85,afaahiti,-17.75,-149.2833,71.47,90,100,20.71,PF,1694718743
86,halifax,44.6453,-63.5724,68.49,99,100,16.11,CA,1694718574
87,ugoofaaru,5.6667,73.0,82.62,76,64,10.27,MV,1694718743
88,kenai,60.5544,-151.2583,49.14,92,100,3.44,US,1694718744
89,port mathurin,-19.6833,63.4167,73.65,72,100,14.9,MU,1694718745
90,luderitz,-26.6481,15.1594,57.42,69,0,14.47,NA,1694718745
91,hithadhoo,-0.6,73.0833,82.63,77,20,16.06,MV,1694718745
92,alofi,-19.0595,-169.9187,74.88,71,11,17.07,NU,1694718746
93,susuman,62.7833,148.1667,37.22,92,100,3.22,RU,1694718746
94,dudinka,69.4058,86.1778,51.62,89,100,14.52,RU,1694718747
95,talnakh,69.4865,88.3972,51.21,95,100,18.66,RU,1694718747
96,vygonichi,53.0985,34.0673,54.16,60,99,7.27,RU,1694718747
97,port alfred,-33.5906,26.891,58.87,69,33,4.63,ZA,1694718748
98,ribeira grande,38.5167,-28.7,75.6,88,40,11.99,PT,1694718748
99,serramanna,39.4244,8.9244,79.63,78,0,8.05,IT,1694718749
100,morales,2.757,-76.6172,71.44,69,100,2.91,CO,1694718749
101,salur,18.5333,83.2167,77.77,87,100,3.42,IN,1694718749
102,khandyga,62.6667,135.6,42.33,96,100,2.93,RU,1694718750
103,whitehorse,60.7161,-135.0538,50.02,65,100,13.0,CA,1694718568
104,yulinshi,38.2906,109.7494,64.13,75,3,12.93,CN,1694718751
105,kununurra,-15.7667,128.7333,66.18,72,75,3.44,AU,1694718751
106,havre,49.5833,0.3333,62.35,94,12,6.91,FR,1694718751
107,betio village,1.358,172.9211,82.76,70,54,1.34,KI,1694718752
108,madras,13.0878,80.2785,82.96,86,40,8.05,IN,1694718665
109,akrehamn,59.2667,5.1833,59.41,72,40,13.8,NO,1694718752
110,garoua,9.3,13.4,72.07,93,100,1.77,CM,1694718753
111,araban,37.4267,37.689,75.11,16,0,8.28,TR,1694718753
112,labasa,-16.4167,179.3833,75.54,88,63,6.17,FJ,1694718753
113,minas de marcona,-15.2119,-75.1103,62.56,64,33,16.35,PE,1694718754
114,puerto aysen,-45.4,-72.7,42.58,100,100,4.25,CL,1694718754
115,soresina,45.2865,9.857,74.19,78,88,2.13,IT,1694718754
116,togur,58.3631,82.8265,48.25,79,93,3.6,RU,1694718755
117,east london,-33.0153,27.9116,62.2,63,100,4.14,ZA,1694718755
118,saint-philippe,-21.3585,55.7679,67.59,78,1,8.39,RE,1694718755
119,bilibino,68.0546,166.4372,32.9,82,97,3.67,RU,1694718756
120,port lincoln,-34.7333,135.8667,53.01,89,0,6.6,AU,1694718756
121,foggia,41.45,15.5333,76.84,78,0,4.61,IT,1694718756
122,de aar,-30.6497,24.0123,57.22,17,100,7.94,ZA,1694718757
123,backa palanka,45.2508,19.3919,70.95,71,33,7.4,RS,1694718757
124,santa elena de uairen,4.6167,-61.1333,86.11,34,10,9.24,VE,1694718757
125,colonia,50.9333,6.95,64.94,70,0,4.61,DE,1694718758
126,jamestown,42.097,-79.2353,66.02,52,20,6.91,US,1694718664
127,albany,42.6001,-73.9662,72.03,58,8,1.99,US,1694718701
128,hadibu,12.65,54.0333,79.32,81,22,16.84,YE,1694718759
129,st. john's,47.5649,-52.7093,66.78,96,100,11.5,CA,1694718759
130,suamico,44.6319,-88.0393,71.29,50,40,9.22,US,1694718759
131,nemuro,43.3236,145.575,59.4,95,100,18.5,JP,1694718759
132,kone,-21.0595,164.8658,66.7,98,100,1.3,NC,1694718760
133,longyearbyen,78.2186,15.6401,37.24,75,40,19.57,SJ,1694718760
134,smithers,54.7804,-127.1743,50.32,66,100,4.61,CA,1694718761
135,kristiansund,63.1115,7.732,52.45,71,75,3.44,NO,1694718761
136,dapa,9.7594,126.0531,80.73,82,100,5.66,PH,1694718761
137,klyuchi,52.2667,79.1667,50.58,90,3,7.11,RU,1694718762
138,chonchi,-42.6128,-73.8092,52.81,96,100,13.89,CL,1694718762
139,labrador city,52.9463,-66.9114,62.51,77,75,9.22,CA,1694718762
140,anadyr,64.75,177.4833,37.9,100,40,4.47,RU,1694718763
141,wailua homesteads,22.0669,-159.378,79.75,76,40,13.8,US,1694718763
142,canutama,-6.5339,-64.3831,106.16,17,5,4.38,BR,1694718763
143,dalbandin,28.8947,64.4101,83.05,13,0,2.01,PK,1694718764
144,wenchang,30.904,118.4887,69.19,98,100,1.9,CN,1694718764
145,laibin,23.7,109.2667,71.71,91,100,4.14,CN,1694718764
146,talara,-4.5772,-81.2719,79.56,57,0,21.85,PE,1694718765
147,kerikeri,-35.2268,173.9474,54.48,79,41,10.04,NZ,1694718615
148,san antonio de pale,-1.4014,5.6325,75.42,81,67,8.7,GQ,1694718765
